Date,Stock
2014-04-29,235075.0
2014-04-30,233325.0
2014-05-01,231000.0
2014-05-02,229800.0
2014-05-06,225425.0
2014-05-07,216950.0
2014-05-08,213025.0
2014-05-09,208325.0
2014-05-12,205325.0
2014-05-13,202975.0
2014-05-14,197475.0
2014-05-15,191075.0
2014-05-16,186525.0
2014-05-19,186525.0
2014-05-20,180825.0
2014-05-21,179100.0
2014-05-22,177350.0
2014-05-23,175850.0
2014-05-26,175850.0
2014-05-27,176550.0
2014-05-28,169825.0
2014-05-29,172500.0
2014-05-30,171350.0
2014-06-02,170825.0
2014-06-03,168825.0
2014-06-04,168475.0
2014-06-05,167925.0
2014-06-06,167775.0
2014-06-09,167250.0
2014-06-10,166825.0
2014-06-11,166750.0
2014-06-12,165725.0
2014-06-13,163700.0
2014-06-16,162250.0
2014-06-17,161200.0
2014-06-18,160675.0
2014-06-19,160000.0
2014-06-20,159425.0
2014-06-23,158575.0
2014-06-24,157725.0
2014-06-25,156825.0
2014-06-26,156000.0
2014-06-27,155150.0
2014-06-30,154675.0
2014-07-01,154700.0
2014-07-02,156775.0
2014-07-03,157050.0
2014-07-04,156500.0
2014-07-07,159350.0
2014-07-08,158050.0
2014-07-09,159075.0
2014-07-10,158100.0
2014-07-11,158475.0
2014-07-14,159400.0
2014-07-15,159375.0
2014-07-16,159175.0
2014-07-17,158575.0
2014-07-18,157700.0
2014-07-21,158000.0
2014-07-22,157125.0
2014-07-23,156300.0
2014-07-24,154350.0
2014-07-25,152600.0
2014-07-28,150900.0
2014-07-29,149475.0
2014-07-30,147925.0
2014-07-31,146750.0
2014-08-01,146200.0
2014-08-04,146175.0
2014-08-05,145575.0
2014-08-06,144350.0
2014-08-07,143700.0
2014-08-08,142275.0
2014-08-11,141375.0
2014-08-12,140675.0
2014-08-13,141350.0
2014-08-14,141350.0
2014-08-15,141300.0
2014-08-18,141275.0
2014-08-19,145350.0
2014-08-20,145200.0
2014-08-21,146425.0
2014-08-22,146325.0
2014-08-26,146225.0
2014-08-27,147375.0
2014-08-28,148425.0
2014-08-29,148150.0
2014-09-01,148025.0
2014-09-02,147825.0
2014-09-03,154825.0
2014-09-04,154700.0
2014-09-05,154700.0
2014-09-08,154600.0
2014-09-09,154700.0
2014-09-10,155625.0
2014-09-11,155775.0
2014-09-12,156475.0
2014-09-15,156375.0
2014-09-16,156325.0
2014-09-17,155400.0
2014-09-18,154775.0
2014-09-19,154375.0
2014-09-22,153700.0
2014-09-23,152100.0
2014-09-24,156100.0
2014-09-25,155600.0
2014-09-26,154500.0
2014-09-29,154100.0
2014-09-30,152550.0
2014-10-01,152275.0
2014-10-02,151375.0
2014-10-03,150550.0
2014-10-06,150050.0
2014-10-07,150050.0
2014-10-08,149625.0
2014-10-09,149900.0
2014-10-10,149650.0
2014-10-13,151225.0
2014-10-14,151725.0
2014-10-15,154650.0
2014-10-16,157675.0
2014-10-17,157825.0
2014-10-20,157725.0
2014-10-21,157625.0
2014-10-22,157525.0
2014-10-23,157500.0
2014-10-24,159550.0
2014-10-27,159550.0
2014-10-28,161050.0
2014-10-29,162675.0
2014-10-30,162625.0
2014-10-31,162600.0
2014-11-03,162100.0
2014-11-04,162100.0
2014-11-05,160350.0
2014-11-06,160400.0
2014-11-07,159775.0
2014-11-10,161900.0
2014-11-11,162025.0
2014-11-12,160800.0
2014-11-13,159950.0
2014-11-14,159400.0
2014-11-17,159125.0
2014-11-18,160425.0
2014-11-19,160825.0
2014-11-20,161500.0
2014-11-21,160825.0
2014-11-24,161850.0
2014-11-25,163200.0
2014-11-26,162125.0
2014-11-27,161950.0
2014-11-28,164300.0
2014-12-01,164800.0
2014-12-02,166025.0
2014-12-03,165475.0
2014-12-04,164025.0
2014-12-05,163475.0
2014-12-08,164900.0
2014-12-09,165850.0
2014-12-10,166075.0
2014-12-11,166450.0
2014-12-12,166500.0
2014-12-15,167425.0
2014-12-16,172675.0
2014-12-17,172200.0
2014-12-18,170900.0
2014-12-19,170000.0
2014-12-22,168700.0
2014-12-23,172225.0
2014-12-24,171850.0
2014-12-29,171850.0
2014-12-30,172250.0
2014-12-31,177025.0
2015-01-02,177025.0
2015-01-05,178425.0
2015-01-06,178775.0
2015-01-07,178675.0
2015-01-08,179225.0
2015-01-09,187475.0
2015-01-12,187400.0
2015-01-13,191325.0
2015-01-14,194000.0
2015-01-15,198725.0
2015-01-16,200400.0
2015-01-19,210600.0
2015-01-20,216225.0
2015-01-21,219450.0
2015-01-22,225375.0
2015-01-23,235150.0
2015-01-26,236850.0
2015-01-27,238225.0
2015-01-28,244675.0
2015-01-29,247450.0
2015-01-30,248125.0
2015-02-02,250025.0
2015-02-03,250250.0
2015-02-04,252100.0
2015-02-05,284600.0
2015-02-06,284450.0
2015-02-09,286475.0
2015-02-10,289200.0
2015-02-11,288450.0
2015-02-12,292750.0
2015-02-13,295300.0
2015-02-16,295100.0
2015-02-17,295475.0
2015-02-18,298075.0
2015-02-19,298650.0
2015-02-20,298200.0
2015-02-23,299675.0
2015-02-24,295500.0
2015-02-25,295050.0
2015-02-26,295025.0
2015-02-27,296375.0
2015-03-02,297200.0
2015-03-03,297400.0
2015-03-04,308125.0
2015-03-05,318375.0
2015-03-06,323050.0
2015-03-09,326050.0
2015-03-10,328450.0
2015-03-11,330425.0
2015-03-12,330750.0
2015-03-13,333575.0
2015-03-16,337575.0
2015-03-17,342200.0
2015-03-18,340650.0
2015-03-19,342600.0
2015-03-20,341750.0
2015-03-23,340925.0
2015-03-24,342275.0
2015-03-25,342625.0
2015-03-26,339600.0
2015-03-27,337175.0
2015-03-30,334600.0
2015-03-31,332300.0
2015-04-01,332125.0
2015-04-02,333550.0
2015-04-07,333425.0
2015-04-08,331000.0
2015-04-09,330125.0
2015-04-10,330050.0
2015-04-13,333800.0
2015-04-14,337500.0
2015-04-15,337250.0
2015-04-16,337225.0
2015-04-17,336600.0
2015-04-20,341275.0
2015-04-21,338300.0
2015-04-22,337275.0
2015-04-23,336725.0
2015-04-24,337675.0
2015-04-27,338425.0
2015-04-28,338250.0
2015-04-29,338125.0
2015-04-30,337925.0
2015-05-01,339625.0
2015-05-05,341325.0
2015-05-06,341000.0
2015-05-07,339725.0
2015-05-08,339075.0
2015-05-11,339475.0
2015-05-12,338525.0
2015-05-13,337850.0
2015-05-14,338800.0
2015-05-15,338000.0
2015-05-18,337775.0
2015-05-19,337000.0
2015-05-20,334875.0
2015-05-21,332225.0
2015-05-22,330825.0
2015-05-26,327800.0
2015-05-27,327500.0
2015-05-28,325075.0
2015-05-29,322150.0
2015-06-01,320950.0
2015-06-02,317500.0
2015-06-03,318625.0
2015-06-04,318100.0
2015-06-05,315125.0
2015-06-08,312300.0
2015-06-09,310825.0
2015-06-10,308025.0
2015-06-11,317475.0
2015-06-12,314025.0
2015-06-15,314400.0
2015-06-16,318600.0
2015-06-17,318100.0
2015-06-18,318925.0
2015-06-19,317700.0
2015-06-22,315475.0
2015-06-23,314250.0
2015-06-24,311475.0
2015-06-25,309275.0
2015-06-26,310300.0
2015-06-29,307650.0
2015-06-30,324100.0
2015-07-01,323450.0
2015-07-02,322075.0
2015-07-03,321975.0
2015-07-06,321500.0
2015-07-07,329175.0
2015-07-08,328250.0
2015-07-09,330050.0
2015-07-10,329725.0
2015-07-13,331450.0
2015-07-14,338200.0
2015-07-15,337525.0
2015-07-16,337200.0
2015-07-17,340325.0
2015-07-20,339775.0
2015-07-21,339475.0
2015-07-22,338975.0
2015-07-23,340675.0
2015-07-24,343250.0
2015-07-27,342925.0
2015-07-28,344125.0
2015-07-29,345050.0
2015-07-30,346125.0
2015-07-31,345475.0
2015-08-03,346525.0
2015-08-04,347500.0
2015-08-05,350825.0
2015-08-06,351600.0
2015-08-07,352325.0
2015-08-10,354125.0
2015-08-11,354950.0
2015-08-12,350000.0
2015-08-13,350075.0
2015-08-14,350325.0
2015-08-17,350650.0
2015-08-18,353600.0
2015-08-19,354200.0
2015-08-20,353625.0
2015-08-21,353825.0
2015-08-24,356200.0
2015-08-25,355550.0
2015-08-26,369025.0
2015-08-27,370425.0
2015-08-28,371250.0
2015-09-01,367650.0
2015-09-02,362675.0
2015-09-03,360825.0
2015-09-04,355850.0
2015-09-07,352325.0
2015-09-08,346200.0
2015-09-09,346850.0
2015-09-10,344300.0
2015-09-11,342000.0
2015-09-14,340875.0
2015-09-15,337525.0
2015-09-16,334850.0
2015-09-17,333050.0
2015-09-18,335200.0
2015-09-21,335850.0
2015-09-22,330100.0
2015-09-23,327175.0
2015-09-24,322900.0
2015-09-25,325275.0
2015-09-28,324600.0
2015-09-29,323975.0
2015-09-30,323800.0
2015-10-01,320400.0
2015-10-02,319425.0
2015-10-05,317600.0
2015-10-06,312225.0
2015-10-07,308100.0
2015-10-08,305475.0
2015-10-09,305225.0
2015-10-12,303200.0
2015-10-13,300600.0
2015-10-14,297175.0
2015-10-15,293650.0
2015-10-16,292950.0
2015-10-19,293575.0
2015-10-20,289075.0
2015-10-21,284050.0
2015-10-22,280275.0
2015-10-23,277600.0
2015-10-26,277950.0
2015-10-27,274075.0
2015-10-28,273350.0
2015-10-29,270200.0
2015-10-30,267775.0
2015-11-02,267850.0
2015-11-03,266225.0
2015-11-04,263125.0
2015-11-05,269525.0
2015-11-06,266100.0
2015-11-09,261125.0
2015-11-10,258625.0
2015-11-11,256275.0
2015-11-12,261025.0
2015-11-13,258700.0
2015-11-16,262250.0
2015-11-17,258500.0
2015-11-18,255275.0
2015-11-19,255050.0
2015-11-20,252325.0
2015-11-23,251125.0
2015-11-24,250675.0
2015-11-25,247925.0
2015-11-26,244800.0
2015-11-27,243350.0
2015-11-30,244375.0
2015-12-01,243025.0
2015-12-02,239200.0
2015-12-03,239250.0
2015-12-04,237625.0
2015-12-07,235750.0
2015-12-08,235725.0
2015-12-09,232700.0
2015-12-10,231925.0
2015-12-11,232675.0
2015-12-14,232200.0
2015-12-15,232650.0
2015-12-16,231775.0
2015-12-17,231475.0
2015-12-18,231825.0
2015-12-21,232175.0
2015-12-22,232350.0
2015-12-23,233675.0
2015-12-24,235200.0
2015-12-29,237075.0
2015-12-30,236975.0
2015-12-31,236225.0
2016-01-04,235800.0
2016-01-05,235225.0
2016-01-06,235850.0
2016-01-07,238000.0
2016-01-08,236650.0
2016-01-11,238625.0
2016-01-12,236725.0
2016-01-13,235525.0
2016-01-14,233400.0
2016-01-15,234175.0
2016-01-18,233550.0
2016-01-19,236125.0
2016-01-20,235300.0
2016-01-21,238125.0
2016-01-22,237350.0
2016-01-25,238825.0
2016-01-26,237375.0
2016-01-27,240325.0
2016-01-28,241250.0
2016-01-29,242375.0
2016-02-01,239400.0
2016-02-02,239025.0
2016-02-03,235400.0
2016-02-04,232700.0
2016-02-05,228650.0
2016-02-08,227100.0
2016-02-09,228125.0
2016-02-10,227300.0
2016-02-11,224750.0
2016-02-12,220225.0
2016-02-15,218300.0
2016-02-16,214300.0
2016-02-17,209875.0
2016-02-18,209950.0
2016-02-19,208525.0
2016-02-22,205500.0
2016-02-23,203700.0
2016-02-24,202450.0
2016-02-25,199250.0
2016-02-26,197225.0
2016-02-29,195625.0
2016-03-01,193475.0
2016-03-02,190750.0
2016-03-03,187725.0
2016-03-04,186700.0
2016-03-07,185225.0
2016-03-08,184850.0
2016-03-09,181975.0
2016-03-10,178575.0
2016-03-11,175975.0
2016-03-14,174175.0
2016-03-15,170075.0
2016-03-16,167025.0
2016-03-17,160925.0
2016-03-18,158275.0
2016-03-21,155275.0
2016-03-22,151975.0
2016-03-23,150675.0
2016-03-24,151375.0
2016-03-29,149125.0
2016-03-30,145450.0
2016-03-31,144750.0
2016-04-01,143400.0
2016-04-04,143475.0
2016-04-05,141425.0
2016-04-06,141075.0
2016-04-07,145000.0
2016-04-08,145675.0
2016-04-11,147350.0
2016-04-12,146450.0
2016-04-13,146475.0
2016-04-14,146500.0
2016-04-15,147975.0
2016-04-18,147275.0
2016-04-19,144700.0
2016-04-20,146200.0
2016-04-21,146275.0
2016-04-22,147800.0
2016-04-25,152400.0
2016-04-26,152475.0
2016-04-27,152200.0
2016-04-28,150725.0
2016-04-29,149500.0
2016-05-03,154675.0
2016-05-04,156500.0
2016-05-05,156725.0
2016-05-06,159025.0
2016-05-09,159600.0
2016-05-10,160900.0
2016-05-11,161625.0
2016-05-12,160000.0
2016-05-13,156675.0
2016-05-16,159025.0
2016-05-17,156750.0
2016-05-18,156850.0
2016-05-19,158600.0
2016-05-20,155725.0
2016-05-23,155000.0
2016-05-24,157250.0
2016-05-25,155250.0
2016-05-26,155975.0
2016-05-27,153750.0
2016-05-31,151725.0
2016-06-01,154350.0
2016-06-02,153525.0
2016-06-03,153675.0
2016-06-06,174400.0
2016-06-07,196225.0
2016-06-08,207300.0
2016-06-09,213225.0
2016-06-10,210675.0
2016-06-13,207625.0
2016-06-14,203275.0
2016-06-15,202150.0
2016-06-16,199025.0
2016-06-17,195925.0
2016-06-20,194025.0
2016-06-21,192175.0
2016-06-22,190700.0
2016-06-23,194375.0
